nohup: ignoring input
Drklinik client baslatiliyor...
Dump dizini: /var/www/www-root/data/www/randevumceptetest/storage/app/drklinik/20260601_125631
Login deneniyor...
Login sonuc: OK - webforms
Detay: Login OK. Son URL: https://uygulama.drklinik.net/odeme_uyari.aspx
=== Acik Adisyon Raporu salon=362, tarih: 2024-01-01 ... 2026-12-31 ===
  hafta 01.01.2024-07.01.2024: 0 satir okundu, kumule acik=0
  hafta 08.01.2024-14.01.2024: 0 satir okundu, kumule acik=0
  hafta 15.01.2024-21.01.2024: 0 satir okundu, kumule acik=0
  hafta 22.01.2024-28.01.2024: 0 satir okundu, kumule acik=0
  hafta 29.01.2024-04.02.2024: 0 satir okundu, kumule acik=0
  hafta 05.02.2024-11.02.2024: 0 satir okundu, kumule acik=0
  hafta 12.02.2024-18.02.2024: 0 satir okundu, kumule acik=0
  hafta 19.02.2024-25.02.2024: 0 satir okundu, kumule acik=0
  hafta 26.02.2024-03.03.2024: 0 satir okundu, kumule acik=0
  hafta 04.03.2024-10.03.2024: 0 satir okundu, kumule acik=0
  hafta 11.03.2024-17.03.2024: 0 satir okundu, kumule acik=0
  hafta 18.03.2024-24.03.2024: 0 satir okundu, kumule acik=0
  hafta 25.03.2024-31.03.2024: 0 satir okundu, kumule acik=0
  hafta 01.04.2024-07.04.2024: 0 satir okundu, kumule acik=0
  hafta 08.04.2024-14.04.2024: 0 satir okundu, kumule acik=0
  hafta 15.04.2024-21.04.2024: 0 satir okundu, kumule acik=0
  hafta 22.04.2024-28.04.2024: 0 satir okundu, kumule acik=0
  hafta 29.04.2024-05.05.2024: 0 satir okundu, kumule acik=0
  hafta 06.05.2024-12.05.2024: 0 satir okundu, kumule acik=0
  hafta 13.05.2024-19.05.2024: 0 satir okundu, kumule acik=0
  hafta 20.05.2024-26.05.2024: 0 satir okundu, kumule acik=0
  hafta 27.05.2024-02.06.2024: 0 satir okundu, kumule acik=0
  hafta 03.06.2024-09.06.2024: 22 satir okundu, kumule acik=1
  hafta 10.06.2024-16.06.2024: 44 satir okundu, kumule acik=6
  hafta 17.06.2024-23.06.2024: 19 satir okundu, kumule acik=6
  hafta 24.06.2024-30.06.2024: 35 satir okundu, kumule acik=11
